Item_No,Topic_Concept,Domain,Skill_Tested,Claude_1,Claude_2,Claude_3,Claude_4,Claude_5,Gemini_1,Gemini_2,Gemini_3,Gemini_4,Gemini_5,ChatGPT_1,ChatGPT_2,ChatGPT_3,ChatGPT_4,ChatGPT_5,MCopilot_1,MCopilot_2,MCopilot_3,MCopilot_4,MCopilot_5,LLM_Mean,IRT,CTT
1,Whole number addition,Number & Operations,Adding 4-digit whole numbers (1279 + 2576),8,5,8,8,8,5,5,3,5,3,6,3,4,4,4,6,6,5,4,5,5.25,-2.983,0.940
2,Integer addition,Numbers & Operations,Adding negative integers (−43 + 5),12,8,12,12,12,7,8,5,8,8,4,4,3,3,5,7,8,6,6,6,7.20,-1.747,0.818
3,Fraction addition (estimation),Numbers & Operations,Estimating sum of fractions (12/13 + 7/8),10,18,18,18,18,16,15,12,15,18,9,9,6,9,9,12,16,10,12,12,13.10,0.843,0.384
4,Integer addition,Numbers & Operations,Adding two negative integers (−52 + (−39)),11,7,10,10,14,6,5,5,6,7,5,4,3,3,5,6,9,6,6,6,6.70,-1.055,0.727
5,Whole number subtraction,Numbers & Operations,Subtracting 4-digit whole numbers (3987 − 1234),8,5,7,8,8,2,3,2,2,3,6,3,4,4,4,6,6,6,5,5,4.85,-2.348,0.932
6,Integer subtraction,Numbers & Operations,Subtracting negative from positive (25 − (−14)),14,12,14,14,14,8,10,6,10,9,4,5,3,4,7,7,8,6,6,8,8.45,-1.299,0.808
7,Whole number subtraction,Numbers & Operations,Subtracting 4-digit whole numbers (2008 − 1326),8,5,9,8,8,9,6,4,8,4,7,6,5,4,4,6,6,4,4,5,6.00,-1.165,0.771
8,Decimal addition,Numbers & Operations,Adding decimals (0.05 + 0.0006),12,9,11,12,10,8,8,8,10,12,6,8,6,6,6,7,9,5,7,6,8.30,-1.865,0.835
9,Percentage calculation,Numbers & Operations,"Finding percentage of amount (15% of 400,000)",15,15,15,16,16,14,12,10,12,16,7,11,6,7,12,9,12,8,8,10,11.55,-1.222,0.770
10,Decimal subtraction,Numbers & Operations,Subtracting decimals (35.36 − 0.432),11,8,10,12,10,12,10,9,14,14,9,11,7,8,7,8,10,5,7,6,9.40,-0.891,0.699
